Year,Book,Edition,Author,Language,Translation,Source,Link,Roman numerals?,Lower and upper case?,Inversions?,Applied chords?,
1917,A short history of harmony,,"Macpherson, Charles",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/427378227,??,??,??,??,Meta-books
1924,The evolution of Harmony,2,"Kitson, Charles Herbert",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/735354853,"No (only in headers, not in musical examples)",No,No,No,Meta-books
1955,The theory of harmony,2,"Shirlaw, Matthew",English,,Forgottenbooks,https://www.forgottenbooks.com/en/books/TheTheoryofHarmony_10028379,Mostly no (appear at pp.360),No,No,No,Meta-books
1972,Anthology for musical analysis,2,"Burkhart, Charles",English,,Internet Archive,https://archive.org/details/anthologyformusi00burk/page/n3/mode/2up,,,,,Sixth edition available in mcgill: https://mcgill.on.worldcat.org/v2/oclc/52801039
1980,A history of harmonic theory in the United States,,"Thomson, David M.",English,,Internet Archive,https://archive.org/details/historyofharmoni0000thom,,,,,Meta-books
1984,Teaching approaches in music theory: an overview of pedagogical philosophies,,"Rogers, Michael R.",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/9687078,,,,,Meta-books
1985,Viennese harmonic theory from Albrechtsberger to Schenker and Schoenberg,,"Wason, Robert Wesley",English,,,https://mcgill.on.worldcat.org/v2/oclc/11090939,,,,,Meta-books
1987,In praise of harmony: the teachings of Abbé Georg Joseph Vogler,,"Grave, Floyd Kersey and Grave, Margaret G.",English,,Internet Archive,https://archive.org/details/inpraiseofharmon00grav/page/n7/mode/2up,,,,,Meta-books
1993,Music theory and the exploration of the past,,"Hatch, Christopher and Bernstein, David W.",English,,Internet Archive,https://archive.org/details/musictheoryexplo0000unse,,,,,Meta-books
1997,Harmony theory: a bibliography,,"Perone, James E.",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/36111983,,,,,Meta-books
2002,The Cambridge history of Western music theory,,"Christensen, Thomas Street",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/45166705,,,,,Meta-books
2008,Thinking about harmony,,"Damschroder, David",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/666925090,,,,,Meta-books
2010,Graduate review of tonal theory,,"Laitz, Steven Geoffrey and Barlette, Christopher A.",English,,McGill library,https://mcgill.on.worldcat.org/v2/oclc/270232039,,,,,Meta-books
