Year,Book,Edition,Author,Language,Translated from,Source,Link,epdf,fb_occurrence (0=none 1=rare 2=occasional 3=common 4=dense),rn_occurrence? (0=none 1=rare 2=occasional 3=common 4=dense),rn_specific_pages,rn_case_sensitive,rn_inversion_letter,rn_inversion_numeric,rn_multirow,rn_appliedchord,rn_fraction,notes_1,notes_2,notes_3,notes_4,,Roman numerals?,Case sensitive?,Inversions?,Applied chords?
1774,Die Kunst des reinen Satzes in der Musik,,"Kirnberger, Johann Philipp",German,,IMSLP,https://imslp.org/wiki/Special:ImagefromIndex/275223/pndp,Yes,3,1,"15, 19, 125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1778,Gründe der Kuhrpfälzischen Tonschule,,"Vogler, Georg Joseph",German,,IMSLP,https://ks4.imslp.info/files/imglnks/usimg/8/8f/IMSLP286167-PMLP464575-grundederkuhrfal00vogl_Grunde_der_Kuhrf%C3%A4lzischen_Tonschule_in_Bielspielen.pdf,Yes,1,1,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1802,Handbuch zur Harmonielehre und für den Generalbaß,,"Vogler, Georg Joseph",German,,Internet Archive,https://archive.org/details/bub_gb_2Tg9AAAAcAAJ/page/n33/mode/2up,Yes,1,1,"26, 55",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
1817,Versuch einer geordneten Theorie der Tonsetzkunst,,"Weber, Gottfried",German,,Google,https://play.google.com/store/books/details?id=KKQQAAAAYAAJ&rdid=book-KKQQAAAAYAAJ&rdot=1,Yes,0,3,"xxii, s.152, s.187, s.201",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,s.201: Multilayered RN analysis; s.219: 3-layered one,,,,,,,,
1827,System der Musik-Wissenschaft und der Praktischen Composition,,"Logier, Johann Bernhard ",English,,IMSLP,http://conquest.imslp.info/files/imglnks/usimg/6/6c/IMSLP253575-PMLP322460-systemdermusikwi00logi.pdf,Yes,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,No,No,No,No
1840,A Catechism of the Rudiments of Harmony and Thorough Bass,12,"Hamilton, James Alexander",English,,Google,https://www.google.ca/books/edition/A_Catechism_of_the_Rudiments_of_Harmony/LiVDAAAAcAAJ?hl=en&gbpv=0,Yes,3,2,"17, 18, 44",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,Yes,No,Yes,No
1844,Traité Complet de la Théorie Et de la Pratique de l'Harmonie,2,"Fétis, François-Joseph",French,,Google,https://books.google.ca/books?id=VugsAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,Yes,2,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pp.133: figured bass syntax,,,,,No,No,No,No
1850,Lehrbuch der Musikalischen Komposition,,"Lobe, Johann Christian",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/LehrbuchderMusikalischenKomposition_11121934,Yes,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Uses arabic numerals pretty much as we currently use Roman numerals, to indicate scale degrees, usually root scale degrees of a chord",,,,,No,No,No,No
1852,Vollständige Harmonie-und Generalbasslehre und Einleitung zur Composition,,"Meister, Johann Georg",German,,Forgottenbooks,https://www.forgottenbooks.com/de/books/VollstandigeHarmonieundGeneralbasslehreundEinleitungzurComposition_11009448,Yes,2,2,"16, 32",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,*: Dual chord labels + Roman numeral annotations,,,,,Yes,Yes,No,No
1853,Die Grundsätze der musikalischen Komposition,,"Sechter, Simon",German,,Other,"https://www.digitale-sammlungen.de/en/view/bsb10599491?page=14,15",Yes,0,2,"13, 103-107, 116, 147-149",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"*: Mostly uses a chord-label-like notation, which has some entries of the form ""D F"" for a single chord that do not make a lot of sense",,,,,,,,
